Time, CPU Utilization (%), Memory Utilization (MB)
2023-11-07 12:22:18, 2.40, 1.38
2023-11-07 12:22:18, 0.00, 1.38
2023-11-07 12:22:18, 0.00, 1.38
2023-11-07 12:22:18, 0.00, 1.38
2023-11-07 12:22:19, 0.00, 1.38
2023-11-07 12:22:19, 0.00, 1.38
2023-11-07 12:22:19, 0.00, 1.38
2023-11-07 12:22:19, 0.00, 1.38
2023-11-07 12:22:19, 0.00, 1.38
2023-11-07 12:22:19, 0.00, 1.38
2023-11-07 12:22:19, 0.00, 1.50
2023-11-07 12:22:19, 2.40, 1.50
2023-11-07 12:22:19, 0.00, 1.50
2023-11-07 12:22:19, 0.00, 1.50
2023-11-07 12:22:20, 0.00, 1.50
2023-11-07 12:22:20, 0.00, 1.50
2023-11-07 12:22:20, 0.00, 1.50
2023-11-07 12:22:20, 0.00, 1.50
2023-11-07 12:22:20, 2.40, 1.50
2023-11-07 12:22:20, 0.00, 1.50
2023-11-07 12:22:20, 0.00, 1.50
2023-11-07 12:22:20, 0.00, 1.50
2023-11-07 12:22:20, 0.00, 1.50
2023-11-07 12:22:20, 0.00, 1.50
2023-11-07 12:22:21, 2.50, 1.50
2023-11-07 12:22:21, 0.00, 1.50
2023-11-07 12:22:21, 0.00, 1.50
2023-11-07 12:22:21, 0.00, 1.62
2023-11-07 12:22:21, 0.00, 1.62
2023-11-07 12:22:21, 0.00, 1.62
2023-11-07 12:22:21, 0.00, 1.75
2023-11-07 12:22:21, 0.00, 1.75
2023-11-07 12:22:21, 0.00, 1.75
2023-11-07 12:22:21, 0.00, 1.75
2023-11-07 12:22:22, 0.00, 1.75
2023-11-07 12:22:22, 0.00, 1.75
2023-11-07 12:22:22, 0.00, 1.75
2023-11-07 12:22:22, 0.00, 1.75
2023-11-07 12:22:22, 0.00, 1.75
2023-11-07 12:22:22, 11.40, 1.75
2023-11-07 12:22:22, 0.00, 1.75
2023-11-07 12:22:22, 2.50, 1.75
2023-11-07 12:22:22, 0.00, 1.75
2023-11-07 12:22:22, 0.00, 1.75
2023-11-07 12:22:23, 0.00, 1.88
2023-11-07 12:22:23, 0.00, 1.88
2023-11-07 12:22:23, 0.00, 1.88
2023-11-07 12:22:23, 0.00, 1.88
2023-11-07 12:22:23, 0.00, 1.88
2023-11-07 12:22:23, 0.00, 1.88
2023-11-07 12:22:23, 0.00, 1.88
2023-11-07 12:22:23, 0.00, 1.88
2023-11-07 12:22:23, 0.00, 1.88
2023-11-07 12:22:23, 0.00, 1.88
2023-11-07 12:22:24, 0.00, 1.88
2023-11-07 12:22:24, 0.00, 1.88
2023-11-07 12:22:24, 0.00, 1.88
2023-11-07 12:22:24, 0.00, 1.88
2023-11-07 12:22:24, 0.00, 1.88
2023-11-07 12:22:24, 0.00, 1.88
2023-11-07 12:22:24, 0.00, 1.88
2023-11-07 12:22:24, 0.00, 1.88
2023-11-07 12:22:24, 0.00, 1.88
2023-11-07 12:22:24, 0.00, 1.88
2023-11-07 12:22:25, 0.00, 1.88
2023-11-07 12:22:25, 0.00, 1.88
2023-11-07 12:22:25, 0.00, 2.00
2023-11-07 12:22:25, 2.40, 2.00
2023-11-07 12:22:25, 0.00, 2.00
2023-11-07 12:22:25, 0.00, 2.00
2023-11-07 12:22:25, 0.00, 2.00
2023-11-07 12:22:25, 0.00, 2.00
2023-11-07 12:22:25, 0.00, 2.12
2023-11-07 12:22:25, 0.00, 2.12
2023-11-07 12:22:26, 0.00, 2.12
2023-11-07 12:22:26, 0.00, 2.12
2023-11-07 12:22:26, 0.00, 2.12
2023-11-07 12:22:26, 2.40, 2.12
2023-11-07 12:22:26, 0.00, 2.12
2023-11-07 12:22:26, 0.00, 2.12
2023-11-07 12:22:26, 0.00, 2.12
2023-11-07 12:22:26, 0.00, 2.12
2023-11-07 12:22:26, 0.00, 2.12
2023-11-07 12:22:26, 0.00, 2.12
2023-11-07 12:22:27, 4.90, 2.12
2023-11-07 12:22:27, 0.00, 2.12
2023-11-07 12:22:27, 0.00, 2.12
2023-11-07 12:22:27, 0.00, 2.12
2023-11-07 12:22:27, 0.00, 2.12
2023-11-07 12:22:27, 0.00, 2.12
2023-11-07 12:22:27, 0.00, 2.38
2023-11-07 12:22:27, 0.00, 2.38
2023-11-07 12:22:27, 0.00, 2.38
2023-11-07 12:22:28, 0.00, 2.38
2023-11-07 12:22:28, 0.00, 2.38
2023-11-07 12:22:28, 0.00, 2.38
2023-11-07 12:22:28, 0.00, 2.38
2023-11-07 12:22:28, 0.00, 2.50
2023-11-07 12:22:28, 0.00, 2.50
2023-11-07 12:22:28, 2.40, 2.50
2023-11-07 12:22:28, 0.00, 2.50
2023-11-07 12:22:28, 0.00, 2.50
2023-11-07 12:22:28, 2.40, 2.50
2023-11-07 12:22:29, 0.00, 2.50
2023-11-07 12:22:29, 0.00, 2.50
2023-11-07 12:22:29, 0.00, 2.50
2023-11-07 12:22:29, 0.00, 2.50
2023-11-07 12:22:29, 0.00, 2.50
2023-11-07 12:22:29, 0.00, 2.50
2023-11-07 12:22:29, 0.00, 2.50
2023-11-07 12:22:29, 0.00, 2.50
2023-11-07 12:22:29, 0.00, 2.50
2023-11-07 12:22:29, 0.00, 2.50
2023-11-07 12:22:30, 0.00, 2.50
2023-11-07 12:22:30, 2.50, 2.50
2023-11-07 12:22:30, 0.00, 2.50
2023-11-07 12:22:30, 2.40, 2.50
2023-11-07 12:22:30, 0.00, 2.50
2023-11-07 12:22:30, 0.00, 2.50
2023-11-07 12:22:30, 0.00, 2.50
2023-11-07 12:22:30, 0.00, 2.62
2023-11-07 12:22:30, 0.00, 2.62
2023-11-07 12:22:30, 0.00, 2.62
2023-11-07 12:22:31, 0.00, 2.62
2023-11-07 12:22:31, 0.00, 2.62
2023-11-07 12:22:31, 0.00, 2.62
2023-11-07 12:22:31, 0.00, 2.62
2023-11-07 12:22:31, 0.00, 2.62
2023-11-07 12:22:31, 0.00, 2.62
2023-11-07 12:22:31, 5.00, 2.75
2023-11-07 12:22:31, 2.50, 2.75
2023-11-07 12:22:31, 0.00, 2.75
2023-11-07 12:22:31, 0.00, 2.75
2023-11-07 12:22:32, 0.00, 2.75
2023-11-07 12:22:32, 0.00, 2.75
2023-11-07 12:22:32, 0.00, 2.75
2023-11-07 12:22:32, 0.00, 2.75
2023-11-07 12:22:32, 0.00, 2.75
2023-11-07 12:22:32, 0.00, 2.75
