Time, CPU Utilization (%), Memory Utilization (MB)
2023-11-07 12:55:21, 0.00, 1.50
2023-11-07 12:55:21, 0.00, 1.50
2023-11-07 12:55:21, 0.00, 1.50
2023-11-07 12:55:21, 0.00, 1.50
2023-11-07 12:55:21, 0.00, 1.50
2023-11-07 12:55:22, 0.00, 1.50
2023-11-07 12:55:22, 0.00, 1.50
2023-11-07 12:55:22, 0.00, 1.50
2023-11-07 12:55:22, 2.40, 1.50
2023-11-07 12:55:22, 0.00, 1.50
2023-11-07 12:55:22, 2.40, 1.50
2023-11-07 12:55:22, 0.00, 1.50
2023-11-07 12:55:22, 0.00, 1.50
2023-11-07 12:55:22, 0.00, 1.50
2023-11-07 12:55:22, 0.00, 1.50
2023-11-07 12:55:23, 0.00, 1.50
2023-11-07 12:55:23, 0.00, 1.50
2023-11-07 12:55:23, 2.40, 1.50
2023-11-07 12:55:23, 0.00, 1.50
2023-11-07 12:55:23, 0.00, 1.50
2023-11-07 12:55:23, 0.00, 1.50
2023-11-07 12:55:23, 0.00, 1.50
2023-11-07 12:55:23, 0.00, 1.50
2023-11-07 12:55:23, 0.00, 1.50
2023-11-07 12:55:23, 0.00, 1.50
2023-11-07 12:55:24, 0.00, 1.50
2023-11-07 12:55:24, 0.00, 1.50
2023-11-07 12:55:24, 0.00, 1.50
2023-11-07 12:55:24, 0.00, 1.50
2023-11-07 12:55:24, 0.00, 1.50
2023-11-07 12:55:24, 0.00, 1.50
2023-11-07 12:55:24, 0.00, 1.50
2023-11-07 12:55:24, 0.00, 1.50
2023-11-07 12:55:24, 0.00, 1.50
2023-11-07 12:55:24, 0.00, 1.50
2023-11-07 12:55:25, 0.00, 1.50
2023-11-07 12:55:25, 0.00, 1.50
2023-11-07 12:55:25, 0.00, 1.50
2023-11-07 12:55:25, 0.00, 1.50
2023-11-07 12:55:25, 0.00, 1.50
2023-11-07 12:55:25, 0.00, 1.50
2023-11-07 12:55:25, 0.00, 1.50
2023-11-07 12:55:25, 0.00, 1.50
2023-11-07 12:55:25, 0.00, 1.50
2023-11-07 12:55:25, 2.40, 1.50
2023-11-07 12:55:26, 2.50, 1.50
2023-11-07 12:55:26, 0.00, 1.50
2023-11-07 12:55:26, 0.00, 1.50
2023-11-07 12:55:26, 0.00, 1.50
2023-11-07 12:55:26, 0.00, 1.50
2023-11-07 12:55:26, 0.00, 1.50
2023-11-07 12:55:26, 0.00, 1.50
2023-11-07 12:55:26, 0.00, 1.50
2023-11-07 12:55:26, 0.00, 1.50
2023-11-07 12:55:26, 0.00, 1.50
2023-11-07 12:55:27, 0.00, 1.50
2023-11-07 12:55:27, 0.00, 1.50
