Time, CPU Utilization (%), Memory Utilization (MB)
2023-11-07 12:39:07, 0.00, 1.38
2023-11-07 12:39:07, 0.00, 1.38
2023-11-07 12:39:08, 0.00, 1.38
2023-11-07 12:39:08, 0.00, 1.38
2023-11-07 12:39:08, 0.00, 1.38
2023-11-07 12:39:08, 7.00, 1.38
2023-11-07 12:39:08, 0.00, 1.38
2023-11-07 12:39:08, 0.00, 1.38
2023-11-07 12:39:08, 0.00, 1.38
2023-11-07 12:39:08, 0.00, 1.38
2023-11-07 12:39:08, 0.00, 1.38
2023-11-07 12:39:08, 0.00, 1.38
2023-11-07 12:39:09, 0.00, 1.38
2023-11-07 12:39:09, 0.00, 1.38
2023-11-07 12:39:09, 0.00, 1.38
2023-11-07 12:39:09, 0.00, 1.38
2023-11-07 12:39:09, 0.00, 1.38
2023-11-07 12:39:09, 0.00, 1.38
2023-11-07 12:39:09, 0.00, 1.38
2023-11-07 12:39:09, 0.00, 1.38
2023-11-07 12:39:09, 2.50, 1.38
2023-11-07 12:39:09, 0.00, 1.38
2023-11-07 12:39:10, 0.00, 1.38
2023-11-07 12:39:10, 0.00, 1.38
2023-11-07 12:39:10, 2.40, 1.38
2023-11-07 12:39:10, 0.00, 1.38
2023-11-07 12:39:10, 0.00, 1.38
2023-11-07 12:39:10, 0.00, 1.38
2023-11-07 12:39:10, 0.00, 1.38
2023-11-07 12:39:10, 0.00, 1.38
2023-11-07 12:39:10, 0.00, 1.38
2023-11-07 12:39:10, 0.00, 1.38
2023-11-07 12:39:11, 0.00, 1.38
2023-11-07 12:39:11, 0.00, 1.38
2023-11-07 12:39:11, 0.00, 1.38
2023-11-07 12:39:11, 4.90, 1.38
2023-11-07 12:39:11, 0.00, 1.38
2023-11-07 12:39:11, 2.50, 1.50
2023-11-07 12:39:11, 5.00, 1.50
2023-11-07 12:39:11, 11.90, 1.50
2023-11-07 12:39:11, 0.00, 1.50
2023-11-07 12:39:11, 0.00, 1.50
2023-11-07 12:39:12, 0.00, 1.50
2023-11-07 12:39:12, 0.00, 1.50
2023-11-07 12:39:12, 0.00, 1.50
2023-11-07 12:39:12, 0.00, 1.50
2023-11-07 12:39:12, 0.00, 1.50
2023-11-07 12:39:12, 0.00, 1.50
2023-11-07 12:39:12, 0.00, 1.50
2023-11-07 12:39:12, 0.00, 1.50
2023-11-07 12:39:12, 2.50, 1.50
2023-11-07 12:39:12, 0.00, 1.50
2023-11-07 12:39:13, 0.00, 1.50
2023-11-07 12:39:13, 0.00, 1.50
2023-11-07 12:39:13, 0.00, 1.50
2023-11-07 12:39:13, 0.00, 1.50
2023-11-07 12:39:13, 0.00, 1.50
2023-11-07 12:39:13, 0.00, 1.50
2023-11-07 12:39:13, 0.00, 1.50
2023-11-07 12:39:13, 0.00, 1.50
2023-11-07 12:39:13, 0.00, 1.50
2023-11-07 12:39:13, 0.00, 1.50
2023-11-07 12:39:14, 0.00, 1.50
2023-11-07 12:39:14, 0.00, 1.50
2023-11-07 12:39:14, 0.00, 1.50
2023-11-07 12:39:14, 2.50, 1.50
