Time, CPU Utilization (%), Memory Utilization (MB)
2023-11-07 12:11:37, 0.00, 1.38
2023-11-07 12:11:37, 0.00, 1.38
2023-11-07 12:11:37, 0.00, 1.38
2023-11-07 12:11:37, 0.00, 1.38
2023-11-07 12:11:37, 0.00, 1.38
2023-11-07 12:11:37, 0.00, 1.38
2023-11-07 12:11:38, 0.00, 1.38
2023-11-07 12:11:38, 0.00, 1.38
2023-11-07 12:11:38, 0.00, 1.38
2023-11-07 12:11:38, 0.00, 1.38
2023-11-07 12:11:38, 0.00, 1.38
2023-11-07 12:11:38, 0.00, 1.38
2023-11-07 12:11:38, 0.00, 1.38
2023-11-07 12:11:38, 0.00, 1.38
2023-11-07 12:11:38, 0.00, 1.38
2023-11-07 12:11:38, 0.00, 1.38
2023-11-07 12:11:39, 0.00, 1.38
2023-11-07 12:11:39, 0.00, 1.50
2023-11-07 12:11:39, 0.00, 1.50
2023-11-07 12:11:39, 0.00, 1.50
2023-11-07 12:11:39, 0.00, 1.50
2023-11-07 12:11:39, 0.00, 1.50
2023-11-07 12:11:39, 0.00, 1.50
2023-11-07 12:11:39, 0.00, 1.50
2023-11-07 12:11:39, 0.00, 1.50
2023-11-07 12:11:40, 0.00, 1.50
2023-11-07 12:11:40, 0.00, 1.50
2023-11-07 12:11:40, 0.00, 1.50
2023-11-07 12:11:40, 0.00, 1.50
2023-11-07 12:11:40, 0.00, 1.50
2023-11-07 12:11:40, 0.00, 1.50
2023-11-07 12:11:40, 0.00, 1.50
2023-11-07 12:11:40, 0.00, 1.50
2023-11-07 12:11:40, 0.00, 1.50
2023-11-07 12:11:40, 0.00, 1.50
2023-11-07 12:11:41, 0.00, 1.50
2023-11-07 12:11:41, 0.00, 1.50
2023-11-07 12:11:41, 0.00, 1.50
2023-11-07 12:11:41, 0.00, 1.50
2023-11-07 12:11:41, 0.00, 1.50
2023-11-07 12:11:41, 0.00, 1.50
2023-11-07 12:11:41, 0.00, 1.50
2023-11-07 12:11:41, 0.00, 1.50
2023-11-07 12:11:41, 0.00, 1.50
2023-11-07 12:11:41, 0.00, 1.50
2023-11-07 12:11:42, 0.00, 1.50
2023-11-07 12:11:42, 0.00, 1.50
2023-11-07 12:11:42, 2.40, 1.50
2023-11-07 12:11:42, 0.00, 1.50
2023-11-07 12:11:42, 0.00, 1.50
2023-11-07 12:11:42, 0.00, 1.50
2023-11-07 12:11:42, 0.00, 1.50
2023-11-07 12:11:42, 0.00, 1.50
2023-11-07 12:11:42, 0.00, 1.50
2023-11-07 12:11:42, 0.00, 1.50
2023-11-07 12:11:43, 0.00, 1.50
2023-11-07 12:11:43, 0.00, 1.50
2023-11-07 12:11:43, 0.00, 1.50
